id,name,type,year,genre,length,price,img,
36,The Weekend,movie,2022,Mystery,129,5.99,https://m.media-amazon.com/images/M/MV5BZmYzNTBiZTAtNmJjNi00MTcyLThlZGMtNDA5Y2RkNjM3ODAzXkEyXkFqcGdeQXVyMzg3OTQ5MjU@._V1_.jpg,
37,After We Fell,movie,2021,Romance,139,3.99,"https://images2.minutemediacdn.com/image/fetch/w_2000,h_2000,c_fit/https%3A%2F%2Fnetflixlife.com%2Ffiles%2F2021%2F03%2FAFTERWEFELL_27x40_PAYOFF_HOTTUB.jpg",
38,No Exit,movie,2022,Thriller,135,9.99,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkjosNW0G7UXqF3iVkD-QfVwS9a8Wytfw1X8aen5mdLAMihG4pU4qfYGhTcddrVZ-Fva0&usqp=CAU,
39,No Man's Land,movie,2020,Western,154,16.99,https://flxt.tmsimg.com/assets/p18660071_b_h8_ab.jpg,
40,Nobody,movie ,2021,action,132,14.99,https://m.media-amazon.com/images/I/81FdZwppzMS._SL1500_.jpg,
41,West Side Story,movie ,2021,romance,236,3.99,https://m.media-amazon.com/images/M/MV5BMzQ5ZDZhZDItZTNmZi00MWQ0LWJlNDUtZTE4ZWJmODNlM2Y3XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_FMjpg_UX1000_.jpg,
42,Lady Bird,movie,2017,comedy,134,3.99,https://i.ytimg.com/vi/pcDeMXXlpd4/maxresdefault.jpg,
43,The Martian,movie,2015,sci-fi,2.24,3.99,https://m.media-amazon.com/images/M/MV5BMTc2MTQ3MDA1Nl5BMl5BanBnXkFtZTgwODA3OTI4NjE@._V1_.jpg,
44,Knight and Day,movie,2010,Action,150,3.99,https://flxt.tmsimg.com/assets/p7963670_p_v10_ae.jpg,
45,The Silver Linings Playbook,movie,2012,Romance/Drama,202,4.99,https://m.media-amazon.com/images/M/MV5BMTM2MTI5NzA3MF5BMl5BanBnXkFtZTcwODExNTc0OA@@._V1_.jpg,
46,The Revenant,movie,2015,Western/Adventure,236,3.99,https://i.ytimg.com/vi/QRfj1VCg16Y/maxresdefault.jpg,
47,Fantastic Beasts: The Crimes of Grindelwald,movie,2018,Fantasy,214,3.99,https://m.media-amazon.com/images/I/91GPd+AayCL._SL1500_.jpg,
48,Malignant,movie,2021,Horror,151,19.99,https://m.media-amazon.com/images/M/MV5BYTc0NWIwOTYtNzEwYi00YmUyLTlmYWYtYjJiZjRjN2RjMjAxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_FMjpg_UX1000_.jpg,
49,Rebacca,movie,2020,Mystery,203,14.99,"https://ih1.redbubble.net/image.1797007949.4888/poster,504x498,f8f8f8-pad,600x600,f8f8f8.jpg",
50,The Last Letter from Your Lover,movie,2021,Romance,150,5.99,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/Last_Letter_From_Your_Lover_Poster.jpg/220px-Last_Letter_From_Your_Lover_Poster.jpg,
51,Wrath of Man,movie,2021,Thriller,158,5.99,https://m.media-amazon.com/images/M/MV5BNGVkOTlhOTktNjZiNS00NDg3LWIxMDAtZTY5Y2E0YjllN2IxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UX1000_.jpg,
52,Nomadland,movie ,2020,Western,148,14.99,https://m.media-amazon.com/images/I/81HGoyM9atS._SL1500_.jpg,
53,The Late Late Show With James Corden,talk show,2015,Chat Show,7 seasons,6.99,https://i.pinimg.com/originals/bf/72/3c/bf723c6c48f0de070db90e3a7d66b04b.jpg,
54,Peppa Pig,cartoon,2004,Cartoon,7 seasons,6.99,https://m.media-amazon.com/images/M/MV5BNDUyODQ0NjAtYTZjMS00MzBjLWI1ZjYtMzBhYzgyYzdjMTE4XkEyXkFqcGdeQXVyMzU5OTE2NTI@._V1_.jpg,
55,Selena+Chef,cooking show,2020,Cookery Program,3 seasons,3.99,https://imgsrc.cineserie.com/2020/08/1743283.jpg?ver=1,
56,MasterChef,reality,2010,Reality Show,19 seasons,1.99,https://ntvb.tmsimg.com/assets/p10492363_b_h10_ac.jpg?w=1280&h=720,
57,The Oprah Winfrey Show,talk show,1986,Chat Show,29 seasons,6.99,https://yt3.ggpht.com/ytc/AKedOLTv0jumEec3ZFmziNWRYl8RKD0xEImyEDFGEbKR=s900-c-k-c0x00ffffff-no-rj,
58,PAW Patrol,cartoon,2013,Cartoon,9 seasons,4.99,https://m.media-amazon.com/images/M/MV5BMTkzYWFlZjItZWE0My00YjBhLWE3MjgtNWJjZDhlZmUzMDg4XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_FMjpg_UX1000_.jpg,
59,Girl Meets Farm,cooking show,2018,Cookery Program,10 seasons,1.99,https://flxt.tmsimg.com/assets/p15465630_b_v13_ba.jpg,
60,Chopped,reality,2009,Reality Show,52 seasons,1.99,"https://res.cloudinary.com/sagacity/image/upload/c_crop,h_540,w_720,x_0,y_0/c_limit,w_1080/v1434117681/chopped_gpv2zg.jpg",
61,The Problem with Jon Stewart,talk show,2021,Chat Show,1 season,6.99,https://m.media-amazon.com/images/S/dmp-catalog-images-prod/images/1ddb9b9a-2585-412b-9ca1-c59fd35d4671/1ddb9b9a-2585-412b-9ca1-c59fd35d4671--1559313576._SX576_SY576_BL0_QL100__UXNaN_FMjpg_QL85_.jpeg,
62,Watership Down,cartoon,2018,Cartoon,1 season,6.99,https://occ-0-2794-2219.1.nflxso.net/dnm/api/v6/X194eJsgWBDE2aQbaNdmCXGUP-Y/AAAABdHLXmevkyiXn-ct12H2-z-Qp7LVnypSENS00xs64iHB4k9jFKF5kzwvnUq_VsSK_dOxZKdEo4dAG9N5uDG4Xmc_KjcvrfPJQ0CTwNmsnZO6cD1Fz0swTAXyp8XR7Q.jpg?r=41a,
63,Guy's Grocery Games,Reality,2013,Reality Show,29 seasons,89.99,https://i.ytimg.com/vi/HzfptYiNfYs/maxresdefault.jpg,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
